,0
0,10042
1,10055
2,10062
3,10075
4,10082
5,10095
6,10102
7,10115
8,10122
9,10135
10,10142
11,10155
12,10162
13,10175
14,10182
15,10195
16,10202
17,10215
18,10222
19,10235
20,10242
21,10255
22,10262
23,10275
24,10282
25,10295
26,10302
27,10315
28,10322
29,10335
30,10342
31,10355
32,10362
33,10375
34,10382
35,10395
36,10402
37,10415
38,10422
39,10435
40,10442
41,10455
42,10462
43,10475
44,10482
45,10495
46,10502
47,10515
48,10522
49,10535
50,10542
51,10555
52,10562
53,10575
54,10582
55,10595
56,10602
57,10615
58,10622
59,10635
60,10642
61,10655
62,10662
63,10675
