,property,price_range,location,property_link,agency,unit,unit_price,unit_info
0,"Penthouse 26, avenue DU 10 SEPTEMBRE, Belair, Luxembourg","€ 4,400/mois",Luxembourg,https://www.immotop.lu/annonces/293219/,CDBgest S.à r.l.,"Penthouse 26, avenue DU 10 SEPTEMBRE, Belair, Luxembourg","€ 4,400/mois","{'chambres/pièces': '3', 'superficie': '146\n m²', 'salles de bain': '2', 'étage': '5'}"
1,"Studio à louer, Gare","€ 1,550/mois",Luxembourg,https://www.immotop.lu/annonces/434557/,FMI IMMOBILIER,"Studio à louer, Gare","€ 1,550/mois","{'chambre/pièce': '1', 'superficie': '25\n m²'}"
2,"Maison individuelle 49, rue Abbé Joseph Flies, Ettelbrück, Ettelbruck","€ 2,900/mois",Ettelbruck,https://www.immotop.lu/annonces/450361/,NEY Immobilière,"Maison individuelle 49, rue Abbé Joseph Flies, Ettelbrück, Ettelbruck","€ 2,900/mois","{'chambres/pièces': '4', 'superficie': '200\n m²'}"
3,"Appartement 2 chambres 55, Beschmontsbongert, Mersch, Mersch","€ 1,800/mois",Mersch,https://www.immotop.lu/annonces/341755/,NEY Immobilière,"Appartement 2 chambres 55, Beschmontsbongert, Mersch, Mersch","€ 1,800/mois","{'chambres/pièces': '2', 'salle de bain': '1', 'étage': '1'}"
4,"Maison individuelle Follereau, Cents, Luxembourg","€ 4,500/mois",Luxembourg,https://www.immotop.lu/annonces/481363/,iCasa sàrl,"Maison individuelle Follereau, Cents, Luxembourg","€ 4,500/mois","{'chambres/pièces': '4', 'superficie': '205\n m²', 'salles de bain': '2'}"
5,"Appartement premier étage, Rodange, Pétange","€ 1,380/mois",Pétange,https://www.immotop.lu/annonces/477385/,IMMO B2,"Appartement premier étage, Rodange, Pétange","€ 1,380/mois","{'superficie': '55\n m²', 'étage': '1'}"
6,"Duplex à louer, Ville Haute","€ 1,750/mois",Luxembourg,https://www.immotop.lu/annonces/471973/,MKA Malou KNAFF Sàrl,"Duplex à louer, Ville Haute","€ 1,750/mois",{}
7,"Appartement 2 chambres 95 Av de la Faiencerie, ID9, 1510 Luxembourg, Limpertsberg, Luxembourg","€ 3,290/mois",Luxembourg,https://www.immotop.lu/annonces/456977/,Blueground,"Appartement 2 chambres 95 Av de la Faiencerie, ID9, 1510 Luxembourg, Limpertsberg, Luxembourg","€ 3,290/mois","{'chambres/pièces': '2', 'superficie': '90\n m²', 'salles de bain': '2', 'étage': '1'}"
8,"Studio à louer, Ville Haute","€ 1,250/mois",Luxembourg,https://www.immotop.lu/annonces/477331/,Immo Sky Lux,"Studio à louer, Ville Haute","€ 1,250/mois","{'chambre/pièce': '1', 'superficie': '27\n m²', 'salle de bain': '1'}"
9,"Fermette 33, rue Hiel, Everlange, Useldange","€ 1,980/mois",Useldange,https://www.immotop.lu/annonces/325739/,iHome S.à r.l.,"Fermette 33, rue Hiel, Everlange, Useldange","€ 1,980/mois","{'chambres/pièces': '4', 'superficie': '180\n m²', 'salle de bain': '1'}"
