,Property,Price_Range,Location,Agency,Unit,Unit_Price (euro),Rooms,Area (squared meter),Bathrooms,Stage
0,"Penthouse 26, avenue DU 10 SEPTEMBRE, Belair, Luxembourg","€ 4,400/mois",Luxembourg,CDBgest S.à r.l.,"Penthouse 26, avenue DU 10 SEPTEMBRE, Belair, Luxembourg",4400,3,146,2,5
1,"Studio à louer, Gare","€ 1,550/mois",Luxembourg,FMI IMMOBILIER,"Studio à louer, Gare",1550,1,25,,
2,"Maison individuelle 49, rue Abbé Joseph Flies, Ettelbrück, Ettelbruck","€ 2,900/mois",Ettelbruck,NEY Immobilière,"Maison individuelle 49, rue Abbé Joseph Flies, Ettelbrück, Ettelbruck",2900,4,200,,
3,"Appartement 2 chambres 55, Beschmontsbongert, Mersch, Mersch","€ 1,800/mois",Mersch,NEY Immobilière,"Appartement 2 chambres 55, Beschmontsbongert, Mersch, Mersch",1800,2,,1,1
4,"Maison individuelle Follereau, Cents, Luxembourg","€ 4,500/mois",Luxembourg,iCasa sàrl,"Maison individuelle Follereau, Cents, Luxembourg",4500,4,205,2,
5,"Appartement premier étage, Rodange, Pétange","€ 1,380/mois",Pétange,IMMO B2,"Appartement premier étage, Rodange, Pétange",1380,,55,,1
6,"Duplex à louer, Ville Haute","€ 1,750/mois",Luxembourg,MKA Malou KNAFF Sàrl,"Duplex à louer, Ville Haute",1750,,,,
7,"Appartement 2 chambres 95 Av de la Faiencerie, ID9, 1510 Luxembourg, Limpertsberg, Luxembourg","€ 3,290/mois",Luxembourg,Blueground,"Appartement 2 chambres 95 Av de la Faiencerie, ID9, 1510 Luxembourg, Limpertsberg, Luxembourg",3290,2,90,2,1
8,"Studio à louer, Ville Haute","€ 1,250/mois",Luxembourg,Immo Sky Lux,"Studio à louer, Ville Haute",1250,1,27,1,
9,"Fermette 33, rue Hiel, Everlange, Useldange","€ 1,980/mois",Useldange,iHome S.à r.l.,"Fermette 33, rue Hiel, Everlange, Useldange",1980,4,180,1,
10,"Appartement 2 chambres 21, rue boulevard Grande-Duchesse Charlotte, Belair, Luxembourg","€ 2,250/mois",Luxembourg,iHome S.à r.l.,"Appartement 2 chambres 21, rue boulevard Grande-Duchesse Charlotte, Belair, Luxembourg",2250,2,90,1,3
11,"Appartement 2 chambres 142, rue de Belvaux, Bruch, Esch-sur-Alzette","€ 1,700/mois",Esch-sur-Alzette,Immo SOOO Service,"Appartement 2 chambres 142, rue de Belvaux, Bruch, Esch-sur-Alzette",1700,2,72,1,1
12,"Appartement 2 chambres troisième étage, Belair, Luxembourg","€ 3,100/mois",Luxembourg,RE/MAX IMMO EVOLUTION,"Appartement 2 chambres troisième étage, Belair, Luxembourg",3100,2,103,1,3
13,"Appartement 3 chambres troisième étage, Wasserbillig, Mertert","€ 2,200/mois",Mertert,IMMOBILIÈRE BIEWER & SPAUTZ S.À R.L.,"Appartement 3 chambres troisième étage, Wasserbillig, Mertert",2200,3,118,1,3
14,"Maison individuelle 170 m², Godbrange, Junglinster","€ 2,975/mois",Junglinster,IMMOBILIÈRE BIEWER & SPAUTZ S.À R.L.,"Maison individuelle 170 m², Godbrange, Junglinster",2975,4,170,,
15,"Maison individuelle 198 m², Schouweiler, Dippach","€ 3,300/mois",Dippach,Agence Immobilière MARAMAX s.à r.l.,"Maison individuelle 198 m², Schouweiler, Dippach",3300,5,198,2,
16,"Appartement 2 chambres rue Dominique Lang, Dudelange, Dudelange","€ 2,250/mois",Dudelange,IMMO SP,"Appartement 2 chambres rue Dominique Lang, Dudelange, Dudelange",2250,2,135,1,3
17,"Appartement 3 chambres rez-de-chaussée, Berdorf, Berdorf","€ 2,700/mois",Berdorf,M2 S.A. by Serge Veyder,"Appartement 3 chambres rez-de-chaussée, Berdorf, Berdorf",2700,3,160,1,T
18,"Appartement 3 chambres rez-de-chaussée, Berdorf, Berdorf","€ 1,800/mois",Berdorf,M2 S.A. by Serge Veyder,"Appartement 3 chambres rez-de-chaussée, Berdorf, Berdorf",1800,3,108,1,T
19,"Maison jumelée / mitoyenne 17d rue de Steinfort, Hobscheid, Habscht","€ 2,950/mois",Habscht,Bee immo,"Maison jumelée / mitoyenne 17d rue de Steinfort, Hobscheid, Habscht",2950,4,280,2,
20,"Duplex à louer, Ville Haute","€ 2,900/mois",Luxembourg,Claude Konrath Promotions Sàrl,"Duplex à louer, Ville Haute",2900,2,94,2,
21,"Appartement 1 chambre Rue F Seimetz, Limpertsberg, Luxembourg","€ 2,800/mois",Luxembourg,Prestige Immobilier sàrl,"Appartement 1 chambre Rue F Seimetz, Limpertsberg, Luxembourg",2800,1,90,,3
22,"Maison individuelle 190 m², Eischen, Gaichel, Habscht","€ 2,900/mois",Habscht,Agence Immobilière Hélène Grober Sàrl,"Maison individuelle 190 m², Eischen, Gaichel, Habscht",2900,4,190,2,
23,"Maison jumelée / mitoyenne 21A rue de la Semois, Ville Haute, Luxembourg","€ 5,700/mois",Luxembourg,HOUSE INVEST,"Maison jumelée / mitoyenne 21A rue de la Semois, Ville Haute, Luxembourg",5700,4,297,3,
24,"Appartement 1 chambre excellent état, deuxième étage, Gare, Luxembourg","€ 1,450/mois",Luxembourg,Immozac SARLS,"Appartement 1 chambre excellent état, deuxième étage, Gare, Luxembourg",1450,1,40,1,2
25,"Appartement 2 chambres neuf, troisième étage, Gare, Luxembourg","€ 2,300/mois",Luxembourg,Bureau Immobilier Léa Kappweiler s.àr.l.,"Appartement 2 chambres neuf, troisième étage, Gare, Luxembourg",2300,2,90,1,3
26,"Appartement 3 chambres excellent état, premier étage, Greiveldange, Hettermillen, Stadtbredimus","€ 2,200/mois",Stadtbredimus,Patrimonew Immobilière Sàrl,"Appartement 3 chambres excellent état, premier étage, Greiveldange, Hettermillen, Stadtbredimus",2200,3,130,1,1
27,"Maison jumelée / mitoyenne 32 Cité du Soleil, Bettembourg, Bettembourg","€ 2,650/mois",Bettembourg,LUX Residence SARL,"Maison jumelée / mitoyenne 32 Cité du Soleil, Bettembourg, Bettembourg",2650,3,125,3,
28,"Penthouse 21 Rue Philippe II, Ville Haute, Luxembourg","€ 4,500/mois",Luxembourg,ISABELLA COLTAN REAL ESTATE,"Penthouse 21 Rue Philippe II, Ville Haute, Luxembourg",4500,3,150,3,6
29,"Appartement 2 chambres 231 rue du kichberg, Kirchberg, Luxembourg","€ 2,150/mois",Luxembourg,BUREAU COMPTABLE FISCAL ET IMMOBILIER Nico Becker,"Appartement 2 chambres 231 rue du kichberg, Kirchberg, Luxembourg",2150,2,93,1,1
30,"Penthouse 7, rue JP Sauvage, Kirchberg, Luxembourg","€ 5,400/mois",Luxembourg,IMMO FRANK,"Penthouse 7, rue JP Sauvage, Kirchberg, Luxembourg",5400,3,229,1,9
31,"Appartement 1 chambre 9 rue de l'Hôpital, Echternach, Echternach","€ 2,390/mois",Echternach,Senior Hotel Echternach,"Appartement 1 chambre 9 rue de l'Hôpital, Echternach, Echternach",2390,1,43,1,T
32,"Maison jumelée / mitoyenne Dicks-Lentz, Oberkorn, Differdange","€ 2,400/mois",Differdange,Venice Consulting SA,"Maison jumelée / mitoyenne Dicks-Lentz, Oberkorn, Differdange",2400,3,120,2,
33,"Appartement 2 chambres premier étage, Roeser, Roeser","€ 2,050/mois",Roeser,Venice Consulting SA,"Appartement 2 chambres premier étage, Roeser, Roeser",2050,2,96,1,1
34,"Appartement 2 chambres rez-de-chaussée, Ville Haute, Luxembourg","€ 2,150/mois",Luxembourg,LA immo Sàrl,"Appartement 2 chambres rez-de-chaussée, Ville Haute, Luxembourg",2150,2,95,1,T
