,property,price_range,location,property_link,agency,unit,unit_price,unit_info
0,Penthouses et Appartements dans programme neuf à Bertrange,"€ 890,572 - € 2,886,577",Bertrange,https://www.immotop.lu/annonces/157685/63659/,MILLEWEE,"Appartement 2 chambres neuf, rez-de-chaussée, Bertrange, Bertrange","€ 890,572","{'chambres/pièces': '2', 'superficie': '81\n m²', 'salle de bain': '1', 'étage': '1'}"
1,Penthouses et Appartements dans programme neuf à Bertrange,"€ 890,572 - € 2,886,577",Bertrange,https://www.immotop.lu/annonces/157685/63641/,MILLEWEE,"Penthouse neuf, 174 m², Bertrange, Bertrange","€ 2,886,577","{'chambres/pièces': '3', 'superficie': '174\n m²', 'salles de bain': '2', 'étage': '3'}"
2,"Duplex à vendre, Bridel","€ 1,500,000",Kopstal,https://www.immotop.lu/annonces/396805/,Colliers Luxembourg,"Duplex à vendre, Bridel","€ 1,500,000","{'superficie': '167\n m²', 'salles de bain': '3'}"
3,"Maison individuelle 100 m², Troine, Troine-Route, Hinterhassel, Wincrange","€ 595,083",Wincrange,https://www.immotop.lu/annonces/457517/,TRADI LUX,"Maison individuelle 100 m², Troine, Troine-Route, Hinterhassel, Wincrange","€ 595,083","{'chambres/pièces': '3', 'superficie': '100\n m²', 'salle de bain': '1'}"
4,"Villa indépendante 700 m², Bertrange, Bertrange",Prix sur demande,Bertrange,https://www.immotop.lu/annonces/323949/,Barnes Luxembourg,"Villa indépendante 700 m², Bertrange, Bertrange",Prix sur demande,"{'chambres/pièces': '5', 'superficie': '700\n m²', 'salles de bain': '3+'}"
5,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/62557/,Venice Consulting SA,"Studio route d'Arlon, Belair, Luxembourg","€ 565,690",{'superficie': '43\n m²'}
6,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/62609/,Venice Consulting SA,"Studio route d'Arlon, Belair, Luxembourg","€ 601,937","{'superficie': '44\n m²', 'salle de bain': '1'}"
7,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/62649/,Venice Consulting SA,"Studio route d'Arlon, Belair, Luxembourg","€ 609,323",{'superficie': '42\n m²'}
8,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/63525/,Venice Consulting SA,"Penthouse route d'Arlon, Belair, Luxembourg","€ 609,462","{'superficie': '42\n m²', 'étage': '4'}"
9,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/62565/,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","€ 623,095","{'chambre/pièce': '1', 'superficie': '47\n m²', 'salle de bain': '1', 'étage': '1'}"
10,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/62661/,Venice Consulting SA,"Penthouse route d'Arlon, Belair, Luxembourg","€ 629,713","{'chambre/pièce': '1', 'superficie': '43\n m²', 'étage': '4'}"
11,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/62675/,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","€ 629,713","{'chambre/pièce': '1', 'superficie': '43\n m²', 'étage': '4'}"
12,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/62581/,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","€ 630,133","{'chambre/pièce': '1', 'superficie': '47\n m²', 'salle de bain': '1', 'étage': '2'}"
13,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/62593/,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","€ 638,264","{'chambre/pièce': '1', 'superficie': '47\n m²', 'salle de bain': '1', 'étage': '3'}"
14,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/62683/,Venice Consulting SA,"Studio route d'Arlon, Belair, Luxembourg","€ 649,212","{'chambre/pièce': '1', 'superficie': '47\n m²'}"
15,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/62699/,Venice Consulting SA,"Studio route d'Arlon, Belair, Luxembourg","€ 668,560","{'chambre/pièce': '1', 'superficie': '49\n m²'}"
16,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/62927/,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","€ 680,708","{'chambre/pièce': '1', 'superficie': '58\n m²', 'salle de bain': '1', 'étage': '1'}"
17,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/63023/,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","€ 681,314","{'chambre/pièce': '1', 'superficie': '57\n m²', 'salle de bain': '1', 'étage': '2'}"
18,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/62881/,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","€ 681,472","{'chambre/pièce': '1', 'superficie': '53\n m²', 'salle de bain': '1', 'étage': '1'}"
19,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/62903/,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","€ 681,472","{'chambre/pièce': '1', 'superficie': '53\n m²', 'salle de bain': '1', 'étage': '1'}"
20,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/63045/,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","€ 688,759","{'chambre/pièce': '1', 'superficie': '53\n m²', 'salle de bain': '1', 'étage': '2'}"
21,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/63067/,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","€ 688,759","{'chambre/pièce': '1', 'superficie': '53\n m²', 'salle de bain': '1', 'étage': '2'}"
22,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/63139/,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","€ 692,732","{'chambre/pièce': '1', 'superficie': '57\n m²', 'salle de bain': '1', 'étage': '3'}"
23,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/63161/,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","€ 697,622","{'chambre/pièce': '1', 'superficie': '53\n m²', 'salle de bain': '1', 'étage': '3'}"
24,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/63179/,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","€ 697,622","{'chambre/pièce': '1', 'superficie': '53\n m²', 'salle de bain': '1', 'étage': '3'}"
