,Property,Price_Range,Location,Agency,Unit,Unit_Price (euro),Rooms,Area (squared meter),Bathrooms,Stage
0,Penthouses et Appartements dans programme neuf à Bertrange,"€ 890,572 - € 2,886,577",Bertrange,MILLEWEE,"Appartement 2 chambres neuf, rez-de-chaussée, Bertrange, Bertrange",890572,2,81,1,1
1,Penthouses et Appartements dans programme neuf à Bertrange,"€ 890,572 - € 2,886,577",Bertrange,MILLEWEE,"Penthouse neuf, 174 m², Bertrange, Bertrange",2886577,3,174,2,3
2,"Duplex à vendre, Bridel","€ 1,500,000",Kopstal,Colliers Luxembourg,"Duplex à vendre, Bridel",1500000,,167,3,
3,"Maison individuelle 100 m², Troine, Troine-Route, Hinterhassel, Wincrange","€ 595,083",Wincrange,TRADI LUX,"Maison individuelle 100 m², Troine, Troine-Route, Hinterhassel, Wincrange",595083,3,100,1,
4,"Villa indépendante 700 m², Bertrange, Bertrange",Prix sur demande,Bertrange,Barnes Luxembourg,"Villa indépendante 700 m², Bertrange, Bertrange",,5,700,3,
5,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,Venice Consulting SA,"Studio route d'Arlon, Belair, Luxembourg",565690,,43,,
6,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,Venice Consulting SA,"Studio route d'Arlon, Belair, Luxembourg",601937,,44,1,
7,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,Venice Consulting SA,"Studio route d'Arlon, Belair, Luxembourg",609323,,42,,
8,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,Venice Consulting SA,"Penthouse route d'Arlon, Belair, Luxembourg",609462,,42,,4
9,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg",623095,1,47,1,1
10,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,Venice Consulting SA,"Penthouse route d'Arlon, Belair, Luxembourg",629713,1,43,,4
11,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg",629713,1,43,,4
12,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg",630133,1,47,1,2
13,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg",638264,1,47,1,3
14,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,Venice Consulting SA,"Studio route d'Arlon, Belair, Luxembourg",649212,1,47,,
