,property,price_range,location,property_link,agency,unit,unit_price,unit_type,unit_info
0,Penthouses et Appartements dans programme neuf à Bertrange,"€ 890,572 - € 2,886,577",Bertrange,https://www.immotop.lu/annonces/157685/63659/,MILLEWEE,"Appartement 2 chambres neuf, rez-de-chaussée, Bertrange, Bertrange","€ 890,572",Appartement,"{'chambres/pièces': '2', 'superficie': '81\n m²', 'salle de bain': '1', 'étage': '1'}"
1,Penthouses et Appartements dans programme neuf à Bertrange,"€ 890,572 - € 2,886,577",Bertrange,https://www.immotop.lu/annonces/157685/155649/,MILLEWEE,"Appartement 2 chambres neuf, rez-de-chaussée, Bertrange, Bertrange","€ 1,260,043",Appartement,"{'chambres/pièces': '2', 'superficie': '75\n m²', 'salle de bain': '1', 'étage': 'T'}"
2,Penthouses et Appartements dans programme neuf à Bertrange,"€ 890,572 - € 2,886,577",Bertrange,https://www.immotop.lu/annonces/157685/63641/,MILLEWEE,"Penthouse neuf, 174 m², Bertrange, Bertrange","€ 2,886,577",Penthouse,"{'chambres/pièces': '3', 'superficie': '174\n m²', 'salles de bain': '2', 'étage': '3'}"
3,"Duplex à vendre, Bridel","€ 1,500,000",Kopstal,https://www.immotop.lu/annonces/396805/,Colliers Luxembourg,"Duplex à vendre, Bridel","€ 1,500,000",Duplex,"{'superficie': '167\n m²', 'salles de bain': '3'}"
4,"Maison individuelle 100 m², Troine, Troine-Route, Hinterhassel, Wincrange","€ 595,083",Wincrange,https://www.immotop.lu/annonces/457517/,TRADI LUX,"Maison individuelle 100 m², Troine, Troine-Route, Hinterhassel, Wincrange","€ 595,083",Maison individuelle,"{'chambres/pièces': '3', 'superficie': '100\n m²', 'salle de bain': '1'}"
5,"Villa indépendante 700 m², Bertrange, Bertrange",Prix sur demande,Bertrange,https://www.immotop.lu/annonces/323949/,Barnes Luxembourg,"Villa indépendante 700 m², Bertrange, Bertrange",Prix sur demande,Villa indépendante,"{'chambres/pièces': '5', 'superficie': '700\n m²', 'salles de bain': '3+'}"
6,Penthouses dans programme neuf à Hesperange,"€ 2,410,000",Hesperange,https://www.immotop.lu/annonces/284877/99077/,Real Value,"Penthouse 2, Op der Sterz, Fentange, Hesperange","€ 2,410,000",Penthouse,"{'chambres/pièces': '3', 'superficie': '208\n m²', 'salles de bain': '2', 'étage': '3'}"
7,Appartements et Penthouses dans programme neuf à Bertrange,"€ 868,104 - € 2,988,400",Bertrange,https://www.immotop.lu/annonces/69461/155639/,SOLUM REAL ESTATE S.à r.l.,"Appartement 1 chambre a laangert, Bertrange, Bertrange","€ 868,104",Appartement,"{'chambre/pièce': '1', 'superficie': '62\n m²', 'salle de bain': '1', 'étage': '1'}"
8,Appartements et Penthouses dans programme neuf à Bertrange,"€ 868,104 - € 2,988,400",Bertrange,https://www.immotop.lu/annonces/69461/146575/,SOLUM REAL ESTATE S.à r.l.,"Appartement 2 chambres a laangert, Bertrange, Bertrange","€ 895,000",Appartement,"{'chambres/pièces': '2', 'superficie': '79\n m²', 'salle de bain': '1', 'étage': '2'}"
9,Appartements et Penthouses dans programme neuf à Bertrange,"€ 868,104 - € 2,988,400",Bertrange,https://www.immotop.lu/annonces/69461/25355/,SOLUM REAL ESTATE S.à r.l.,"Appartement 1 chambre a laangert, Bertrange, Bertrange","€ 1,042,449",Appartement,"{'chambre/pièce': '1', 'superficie': '63\n m²', 'salle de bain': '1', 'étage': 'T'}"
10,Appartements et Penthouses dans programme neuf à Bertrange,"€ 868,104 - € 2,988,400",Bertrange,https://www.immotop.lu/annonces/69461/35925/,SOLUM REAL ESTATE S.à r.l.,"Appartement 2 chambres a laangert, Bertrange, Bertrange","€ 1,167,799",Appartement,"{'chambres/pièces': '2', 'superficie': '90\n m²', 'salles de bain': '2', 'étage': '1'}"
11,Appartements et Penthouses dans programme neuf à Bertrange,"€ 868,104 - € 2,988,400",Bertrange,https://www.immotop.lu/annonces/69461/26095/,SOLUM REAL ESTATE S.à r.l.,"Appartement 2 chambres a laangert, Bertrange, Bertrange","€ 1,226,642",Appartement,"{'chambres/pièces': '2', 'superficie': '89\n m²', 'salles de bain': '2', 'étage': 'T'}"
12,Appartements et Penthouses dans programme neuf à Bertrange,"€ 868,104 - € 2,988,400",Bertrange,https://www.immotop.lu/annonces/69461/26431/,SOLUM REAL ESTATE S.à r.l.,"Appartement 3 chambres a laangert, Bertrange, Bertrange","€ 1,765,532",Appartement,"{'chambres/pièces': '3', 'superficie': '119\n m²', 'salles de bain': '2', 'étage': '1'}"
13,Appartements et Penthouses dans programme neuf à Bertrange,"€ 868,104 - € 2,988,400",Bertrange,https://www.immotop.lu/annonces/69461/25707/,SOLUM REAL ESTATE S.à r.l.,"Penthouse a laangert, Bertrange, Bertrange","€ 2,988,400",Penthouse,"{'chambres/pièces': '4', 'superficie': '168\n m²', 'salles de bain': '3', 'étage': '3'}"
14,Appartements et Appartements-studio dans programme neuf à Luxembourg,"€ 612,830 - € 2,269,816",Luxembourg,https://www.immotop.lu/annonces/354975/119657/,B IMMOBILIER,"Studio à vendre, Belair, Luxembourg","€ 612,830",Studio,{'superficie': '35\n m²'}
15,Appartements et Appartements-studio dans programme neuf à Luxembourg,"€ 612,830 - € 2,269,816",Luxembourg,https://www.immotop.lu/annonces/354975/119673/,B IMMOBILIER,"Studio à vendre, Belair, Luxembourg","€ 635,726",Studio,{'superficie': '38\n m²'}
16,Appartements et Appartements-studio dans programme neuf à Luxembourg,"€ 612,830 - € 2,269,816",Luxembourg,https://www.immotop.lu/annonces/354975/119687/,B IMMOBILIER,Bureau - Cabinet en Vente,"€ 663,459",Bureau - Cabinet,"{'superficie': '46\n m²', 'étage': 'T'}"
17,Appartements et Appartements-studio dans programme neuf à Luxembourg,"€ 612,830 - € 2,269,816",Luxembourg,https://www.immotop.lu/annonces/354975/119699/,B IMMOBILIER,"Studio à vendre, Belair, Luxembourg","€ 664,962",Studio,{'superficie': '40\n m²'}
18,Appartements et Appartements-studio dans programme neuf à Luxembourg,"€ 612,830 - € 2,269,816",Luxembourg,https://www.immotop.lu/annonces/354975/119711/,B IMMOBILIER,"Studio à vendre, Belair, Luxembourg","€ 667,281",Studio,{'superficie': '40\n m²'}
19,Appartements et Appartements-studio dans programme neuf à Luxembourg,"€ 612,830 - € 2,269,816",Luxembourg,https://www.immotop.lu/annonces/354975/119721/,B IMMOBILIER,Bureau - Cabinet en Vente,"€ 721,910",Bureau - Cabinet,"{'superficie': '61\n m²', 'étage': 'T'}"
20,Appartements et Appartements-studio dans programme neuf à Luxembourg,"€ 612,830 - € 2,269,816",Luxembourg,https://www.immotop.lu/annonces/354975/119729/,B IMMOBILIER,Bureau - Cabinet en Vente,"€ 728,614",Bureau - Cabinet,"{'superficie': '60\n m²', 'étage': 'T'}"
21,Appartements et Appartements-studio dans programme neuf à Luxembourg,"€ 612,830 - € 2,269,816",Luxembourg,https://www.immotop.lu/annonces/354975/119735/,B IMMOBILIER,"Appartement 1 chambre neuf, rez-de-chaussée, Belair, Luxembourg","€ 813,650",Appartement,"{'chambre/pièce': '1', 'superficie': '53\n m²', 'étage': '1'}"
22,Appartements et Appartements-studio dans programme neuf à Luxembourg,"€ 612,830 - € 2,269,816",Luxembourg,https://www.immotop.lu/annonces/354975/119739/,B IMMOBILIER,"Appartement 1 chambre neuf, rez-de-chaussée, Belair, Luxembourg","€ 822,934",Appartement,"{'chambre/pièce': '1', 'superficie': '53\n m²', 'étage': '1'}"
