,Property,Price_Range,Location,Link,Agency,Unit,Unit_Price_euro,Unit_Type,Rooms,Area_sqm,Bathrooms,Stage
0,"Maison individuelle 180 m², Ehlange, Ehlange-sur-Mess, Reckange-sur-Mess","€ 2,500/mois",Reckange-sur-Mess,https://www.immotop.lu/annonces/499227/,N real estate,"Maison individuelle 180 m², Ehlange, Ehlange-sur-Mess, Reckange-sur-Mess",2500.0,Maison individuelle,4.0,180.0,3.0,
1,"Loft rez-de-chaussée, Bonnevoie-Verlorenkost, Luxembourg","€ 1,550/mois",Luxembourg,https://www.immotop.lu/annonces/497749/,MKM Consult,"Loft rez-de-chaussée, Bonnevoie-Verlorenkost, Luxembourg",1550.0,Loft,,45.0,,T
2,"Appartement 2 chambres 2, rue Ernest Koch, Belair, Luxembourg","€ 2,300/mois",Luxembourg,https://www.immotop.lu/annonces/83517/,Properties of Luxembourg,"Appartement 2 chambres 2, rue Ernest Koch, Belair, Luxembourg",2300.0,Appartement,2.0,92.0,1.0,2
3,"Maison individuelle 49, rue Abbé Joseph Flies, Ettelbrück, Ettelbruck","€ 2,900/mois",Ettelbruck,https://www.immotop.lu/annonces/450361/,NEY Immobilière,"Maison individuelle 49, rue Abbé Joseph Flies, Ettelbrück, Ettelbruck",2900.0,Maison individuelle,4.0,200.0,,
4,"Appartement 2 chambres 55, Beschmontsbongert, Mersch, Mersch","€ 1,800/mois",Mersch,https://www.immotop.lu/annonces/341755/,NEY Immobilière,"Appartement 2 chambres 55, Beschmontsbongert, Mersch, Mersch",1800.0,Appartement,2.0,,1.0,1
5,"Appartement 2 chambres 95 Av de la Faiencerie, ID9, 1510 Luxembourg, Limpertsberg, Luxembourg","€ 2,890/mois",Luxembourg,https://www.immotop.lu/annonces/494439/,Blueground,"Appartement 2 chambres 95 Av de la Faiencerie, ID9, 1510 Luxembourg, Limpertsberg, Luxembourg",2890.0,Appartement,2.0,90.0,2.0,1
6,"Appartement 4 chambres excellent état, deuxième étage, Limpertsberg, Luxembourg","€ 4,100/mois",Luxembourg,https://www.immotop.lu/annonces/488767/,New Immo,"Appartement 4 chambres excellent état, deuxième étage, Limpertsberg, Luxembourg",4100.0,Appartement,4.0,150.0,2.0,2
7,"Appartement 3 chambres 26, avenue DU 10 SEPTEMBRE, Belair, Luxembourg","€ 4,400/mois",Luxembourg,https://www.immotop.lu/annonces/333019/,CDBgest S.à r.l.,"Appartement 3 chambres 26, avenue DU 10 SEPTEMBRE, Belair, Luxembourg",4400.0,Appartement,3.0,146.0,2.0,4
8,"Penthouse 26, avenue DU 10 SEPTEMBRE, Belair, Luxembourg","€ 4,400/mois",Luxembourg,https://www.immotop.lu/annonces/293219/,CDBgest S.à r.l.,"Penthouse 26, avenue DU 10 SEPTEMBRE, Belair, Luxembourg",4400.0,Penthouse,3.0,146.0,2.0,5
9,"Maison individuelle 183 m², Ville Haute, Luxembourg","€ 2,800/mois",Luxembourg,https://www.immotop.lu/annonces/395091/,Abby Toussaint,"Maison individuelle 183 m², Ville Haute, Luxembourg",2800.0,Maison individuelle,4.0,183.0,1.0,
