,property,price_range,location,property_link,agency,unit,unit_price,unit_type,unit_info
0,"Appartement 1 chambre Maison 39, Reuler, Clervaux","€ 1,000/mois",Clervaux,https://www.immotop.lu/annonces/511355/,Mevi SA,"Appartement 1 chambre Maison 39, Reuler, Clervaux","€ 1,000/mois",Appartement,"{'chambre/pièce': '1', 'superficie': '64\n m²', 'étage': '1'}"
1,"Maison individuelle 198 m², Schouweiler, Dippach","€ 3,300/mois",Dippach,https://www.immotop.lu/annonces/257617/,Agence Immobilière MARAMAX s.à r.l.,"Maison individuelle 198 m², Schouweiler, Dippach","€ 3,300/mois",Maison individuelle,"{'chambres/pièces': '5', 'superficie': '198\n m²', 'salles de bain': '2'}"
2,"Appartement 2 chambres deuxième étage, Bascharage, Käerjeng","€ 1,650/mois",Käerjeng,https://www.immotop.lu/annonces/490553/,Agence Immobilière MARAMAX s.à r.l.,"Appartement 2 chambres deuxième étage, Bascharage, Käerjeng","€ 1,650/mois",Appartement,"{'chambres/pièces': '2', 'superficie': '87\n m²', 'salle de bain': '1', 'étage': '2'}"
3,"Appartement 1 chambre excellent état, deuxième étage, Gare, Luxembourg","€ 1,450/mois",Luxembourg,https://www.immotop.lu/annonces/50677/,Immozac SARLS,"Appartement 1 chambre excellent état, deuxième étage, Gare, Luxembourg","€ 1,450/mois",Appartement,"{'chambre/pièce': '1', 'superficie': '40\n m²', 'salle de bain': '1', 'étage': '2'}"
4,"Appartement 1 chambre Batty Weber 4, Differdange, Lasauvage, Differdange","€ 1,300/mois",Differdange,https://www.immotop.lu/annonces/464211/,Parc Immo Gestion,"Appartement 1 chambre Batty Weber 4, Differdange, Lasauvage, Differdange","€ 1,300/mois",Appartement,"{'chambre/pièce': '1', 'superficie': '54\n m²', 'étage': '3'}"
5,"Appartement 1 chambre premier étage, Soleuvre, Sanem","€ 1,480/mois",Sanem,https://www.immotop.lu/annonces/496429/,Parc Immo Gestion,"Appartement 1 chambre premier étage, Soleuvre, Sanem","€ 1,480/mois",Appartement,"{'chambre/pièce': '1', 'superficie': '55\n m²', 'salle de bain': '1', 'étage': '1'}"
6,"Appartement 1 chambre premier étage, Differdange, Lasauvage, Differdange","€ 1,250/mois",Differdange,https://www.immotop.lu/annonces/160219/,Parc Immo Gestion,"Appartement 1 chambre premier étage, Differdange, Lasauvage, Differdange","€ 1,250/mois",Appartement,"{'chambre/pièce': '1', 'étage': '1'}"
7,"Appartement 3 chambres premier étage, Berdorf, Berdorf","€ 1,800/mois",Berdorf,https://www.immotop.lu/annonces/500647/,M2 S.A. by Serge Veyder,"Appartement 3 chambres premier étage, Berdorf, Berdorf","€ 1,800/mois",Appartement,"{'chambres/pièces': '3', 'superficie': '108\n m²', 'salle de bain': '1', 'étage': '1'}"
8,"Appartement 1 chambre Rue F Seimetz, Limpertsberg, Luxembourg","€ 2,800/mois",Luxembourg,https://www.immotop.lu/annonces/166243/,Prestige Immobilier sàrl,"Appartement 1 chambre Rue F Seimetz, Limpertsberg, Luxembourg","€ 2,800/mois",Appartement,"{'chambre/pièce': '1', 'superficie': '90\n m²', 'étage': '3'}"
9,"Appartement 3 chambres troisième étage, Wasserbillig, Mertert","€ 2,200/mois",Mertert,https://www.immotop.lu/annonces/469719/,IMMOBILIÈRE BIEWER & SPAUTZ S.À R.L.,"Appartement 3 chambres troisième étage, Wasserbillig, Mertert","€ 2,200/mois",Appartement,"{'chambres/pièces': '3', 'superficie': '118\n m²', 'salle de bain': '1', 'étage': '3'}"
10,"Maison individuelle 170 m², Godbrange, Junglinster","€ 2,750/mois",Junglinster,https://www.immotop.lu/annonces/434607/,IMMOBILIÈRE BIEWER & SPAUTZ S.À R.L.,"Maison individuelle 170 m², Godbrange, Junglinster","€ 2,750/mois",Maison individuelle,"{'chambres/pièces': '4', 'superficie': '170\n m²'}"
11,"Maison individuelle 183 m², Ville Haute, Luxembourg","€ 2,800/mois",Luxembourg,https://www.immotop.lu/annonces/395091/,Abby Toussaint,"Maison individuelle 183 m², Ville Haute, Luxembourg","€ 2,800/mois",Maison individuelle,"{'chambres/pièces': '4', 'superficie': '183\n m²', 'salle de bain': '1'}"
12,"Maison individuelle 104 route d'Arlon, Mamer, Mamer","€ 2,900/mois",Mamer,https://www.immotop.lu/annonces/511893/,Multi Business Consultant,"Maison individuelle 104 route d'Arlon, Mamer, Mamer","€ 2,900/mois",Maison individuelle,"{'chambres/pièces': '4', 'superficie': '150\n m²'}"
13,"Maison jumelée / mitoyenne 21A rue de la Semois, Ville Haute, Luxembourg","€ 5,700/mois",Luxembourg,https://www.immotop.lu/annonces/446445/,HOUSE INVEST,"Maison jumelée / mitoyenne 21A rue de la Semois, Ville Haute, Luxembourg","€ 5,700/mois",Maison jumelée / mitoyenne,"{'chambres/pièces': '4', 'superficie': '297\n m²', 'salles de bain': '3'}"
14,"Appartement 2 chambres 21, rue boulevard Grande-Duchesse Charlotte, Belair, Luxembourg","€ 2,250/mois",Luxembourg,https://www.immotop.lu/annonces/465209/,iHome S.à r.l.,"Appartement 2 chambres 21, rue boulevard Grande-Duchesse Charlotte, Belair, Luxembourg","€ 2,250/mois",Appartement,"{'chambres/pièces': '2', 'superficie': '90\n m²', 'salle de bain': '1', 'étage': '3'}"
15,"Fermette 33, rue Hiel, Everlange, Useldange","€ 1,980/mois",Useldange,https://www.immotop.lu/annonces/325739/,iHome S.à r.l.,"Fermette 33, rue Hiel, Everlange, Useldange","€ 1,980/mois",Fermette,"{'chambres/pièces': '4', 'superficie': '180\n m²', 'salle de bain': '1'}"
