,Property,Price_Range,Location,Link,Agency,Unit,Unit_Price_euro,Unit_Type,Rooms,Area_sqm,Bathrooms,Stage
0,"Maison individuelle 285 m², Strassen, Strassen","€ 3,390,000",Strassen,https://www.immotop.lu/annonces/482585/,Barnes Luxembourg,"Maison individuelle 285 m², Strassen, Strassen",3390000.0,Maison individuelle,4.0,285.0,,
1,"Appartement 4 chambres 10a Draikantonstrooss, Filsdorf, Dalheim","€ 1,177,113",Dalheim,https://www.immotop.lu/annonces/486923/,IMMODUN SARL,"Appartement 4 chambres 10a Draikantonstrooss, Filsdorf, Dalheim",1177113.0,Appartement,4.0,137.0,2.0,1
2,"Appartement 4 chambres premier étage, Dudelange, Dudelange","€ 1,190,000",Dudelange,https://www.immotop.lu/annonces/514401/,ImmoNovation,"Appartement 4 chambres premier étage, Dudelange, Dudelange",1190000.0,Appartement,4.0,170.0,3.0,1
3,"Maison individuelle 100 m², Troine, Troine-Route, Hinterhassel, Wincrange","€ 595,083",Wincrange,https://www.immotop.lu/annonces/457517/,TRADI LUX,"Maison individuelle 100 m², Troine, Troine-Route, Hinterhassel, Wincrange",595083.0,Maison individuelle,3.0,100.0,1.0,
4,"Appartement 2 chambres route D'Eppeldorf, Beaufort, Beaufort","€ 689,828",Beaufort,https://www.immotop.lu/annonces/474291/,Ultimo Immo,"Appartement 2 chambres route D'Eppeldorf, Beaufort, Beaufort",689828.0,Appartement,2.0,99.0,1.0,T
5,"Duplex à vendre, Dalheim","€ 910,000",Dalheim,https://www.immotop.lu/annonces/323925/,IMMODUN SARL,"Duplex à vendre, Dalheim",910000.0,Duplex,3.0,129.0,2.0,
6,Appartements et Bureaux - cabinets dans programme neuf à Luxembourg,"€ 610,564 - € 2,877,222",Luxembourg,https://www.immotop.lu/annonces/510377/163171/,Hektar,"Appartement neuf, rez-de-chaussée, Belair, Luxembourg",610564.0,Appartement,,41.0,1.0,1
7,Appartements et Bureaux - cabinets dans programme neuf à Luxembourg,"€ 610,564 - € 2,877,222",Luxembourg,https://www.immotop.lu/annonces/510377/163175/,Hektar,"Appartement neuf, rez-de-chaussée, Belair, Luxembourg",632783.0,Appartement,,42.0,1.0,1
8,Appartements et Bureaux - cabinets dans programme neuf à Luxembourg,"€ 610,564 - € 2,877,222",Luxembourg,https://www.immotop.lu/annonces/510377/163179/,Hektar,"Studio à vendre, Belair, Luxembourg",671020.0,Studio,,45.0,1.0,
9,Appartements et Bureaux - cabinets dans programme neuf à Luxembourg,"€ 610,564 - € 2,877,222",Luxembourg,https://www.immotop.lu/annonces/510377/163183/,Hektar,"Studio à vendre, Belair, Luxembourg",672631.0,Studio,,45.0,1.0,
10,Appartements et Bureaux - cabinets dans programme neuf à Luxembourg,"€ 610,564 - € 2,877,222",Luxembourg,https://www.immotop.lu/annonces/510377/163187/,Hektar,"Studio à vendre, Belair, Luxembourg",709387.0,Studio,,50.0,1.0,
11,Appartements et Bureaux - cabinets dans programme neuf à Luxembourg,"€ 610,564 - € 2,877,222",Luxembourg,https://www.immotop.lu/annonces/510377/163191/,Hektar,"Appartement 1 chambre neuf, rez-de-chaussée, Belair, Luxembourg",781010.0,Appartement,1.0,55.0,1.0,1
12,Appartements et Bureaux - cabinets dans programme neuf à Luxembourg,"€ 610,564 - € 2,877,222",Luxembourg,https://www.immotop.lu/annonces/510377/163195/,Hektar,Bureau - Cabinet en Vente,797705.0,Bureau - Cabinet,,73.0,,T
13,Appartements et Bureaux - cabinets dans programme neuf à Luxembourg,"€ 610,564 - € 2,877,222",Luxembourg,https://www.immotop.lu/annonces/510377/163201/,Hektar,"Appartement 1 chambre neuf, rez-de-chaussée, Belair, Luxembourg",801124.0,Appartement,1.0,59.0,1.0,1
14,Appartements et Bureaux - cabinets dans programme neuf à Luxembourg,"€ 610,564 - € 2,877,222",Luxembourg,https://www.immotop.lu/annonces/510377/163207/,Hektar,"Appartement 1 chambre neuf, rez-de-chaussée, Belair, Luxembourg",811876.0,Appartement,1.0,59.0,1.0,2
15,Appartements et Bureaux - cabinets dans programme neuf à Luxembourg,"€ 610,564 - € 2,877,222",Luxembourg,https://www.immotop.lu/annonces/510377/163213/,Hektar,"Appartement 1 chambre neuf, rez-de-chaussée, Belair, Luxembourg",829484.0,Appartement,1.0,60.0,1.0,2
