,Property,Price_Range,Location,Agency,Unit, Unit_Price (euro) ,Rooms,Area (squared meter),Bathrooms,Stage
0,Penthouses et Appartements dans programme neuf à Bertrange,"€ 890,572 - € 2,886,577",Bertrange,MILLEWEE,"Appartement 2 chambres neuf, rez-de-chaussée, Bertrange, Bertrange","890,572.00",2,81,1,1
1,Penthouses et Appartements dans programme neuf à Bertrange,"€ 890,572 - € 2,886,577",Bertrange,MILLEWEE,"Penthouse neuf, 174 m², Bertrange, Bertrange","2,886,577.00",3,174,2,3
2,"Villa indépendante 700 m², Bertrange, Bertrange",Prix sur demande,Bertrange,Barnes Luxembourg,"Villa indépendante 700 m², Bertrange, Bertrange",,5,700,3,
3,"Duplex à vendre, Filsdorf","€ 910,000",Dalheim,IMMODUN SARL,"Duplex à vendre, Filsdorf","910,000.00",3,129,3,
4,Maisons individuelles dans programme neuf à Mondorf-les-Bains,"€ 1,298,350 - € 1,678,296",Mondorf-les-Bains,BATINVEST,"Maison individuelle 197 m², neuve, Mondorf-les-Bains, Mondorf-les-Bains","1,298,350.00",4,197,2,
5,Maisons individuelles dans programme neuf à Mondorf-les-Bains,"€ 1,298,350 - € 1,678,296",Mondorf-les-Bains,BATINVEST,"Maison individuelle 194 m², neuve, Mondorf-les-Bains, Mondorf-les-Bains","1,332,092.00",4,194,2,
6,Maisons individuelles dans programme neuf à Mondorf-les-Bains,"€ 1,298,350 - € 1,678,296",Mondorf-les-Bains,BATINVEST,"Maison individuelle 192 m², neuve, Mondorf-les-Bains, Mondorf-les-Bains","1,369,383.00",4,192,2,
7,Maisons individuelles dans programme neuf à Mondorf-les-Bains,"€ 1,298,350 - € 1,678,296",Mondorf-les-Bains,BATINVEST,"Maison individuelle 246 m², neuve, Mondorf-les-Bains, Mondorf-les-Bains","1,597,015.00",4,246,2,
8,Maisons individuelles dans programme neuf à Mondorf-les-Bains,"€ 1,298,350 - € 1,678,296",Mondorf-les-Bains,BATINVEST,"Maison individuelle 205 m², neuve, Mondorf-les-Bains, Mondorf-les-Bains","1,678,296.00",4,205,2,
9,Maisons individuelles et Appartements dans programme neuf à Kehlen,"€ 604,952 - € 1,619,631",Kehlen,BATINVEST,"Appartement 1 chambre 79 rue de Luxembourg, Kehlen, Kehlen","604,952.00",1,49,1,T
10,Maisons individuelles et Appartements dans programme neuf à Kehlen,"€ 604,952 - € 1,619,631",Kehlen,BATINVEST,"Appartement 2 chambres 79 rue de Luxembourg, Kehlen, Kehlen","959,507.00",2,92,2,1
11,Maisons individuelles et Appartements dans programme neuf à Kehlen,"€ 604,952 - € 1,619,631",Kehlen,BATINVEST,"Appartement 2 chambres 79 rue de Luxembourg, Kehlen, Kehlen","965,368.00",2,91,2,1
12,Maisons individuelles et Appartements dans programme neuf à Kehlen,"€ 604,952 - € 1,619,631",Kehlen,BATINVEST,"Appartement 2 chambres 79 rue de Luxembourg, Kehlen, Kehlen","994,863.00",2,91,2,1
13,Maisons individuelles et Appartements dans programme neuf à Kehlen,"€ 604,952 - € 1,619,631",Kehlen,BATINVEST,"Appartement 1 chambre 79 rue de Luxembourg, Kehlen, Kehlen","1,004,543.00",1,86,1,T
14,Maisons individuelles et Appartements dans programme neuf à Kehlen,"€ 604,952 - € 1,619,631",Kehlen,BATINVEST,"Appartement 2 chambres 79 rue de Luxembourg, Kehlen, Kehlen","1,093,856.00",2,92,2,T
