,property,price_range,location,property_link,agency,unit,unit_price,unit_info
0,Penthouses et Appartements dans programme neuf à Bertrange,"€ 890,572 - € 2,886,577",Bertrange,https://www.immotop.lu/annonces/157685/63659/,MILLEWEE,"Appartement 2 chambres neuf, rez-de-chaussée, Bertrange, Bertrange","€ 890,572","{'chambres/pièces': '2', 'superficie': '81\n m²', 'salle de bain': '1', 'étage': '1'}"
1,Penthouses et Appartements dans programme neuf à Bertrange,"€ 890,572 - € 2,886,577",Bertrange,https://www.immotop.lu/annonces/157685/63641/,MILLEWEE,"Penthouse neuf, 174 m², Bertrange, Bertrange","€ 2,886,577","{'chambres/pièces': '3', 'superficie': '174\n m²', 'salles de bain': '2', 'étage': '3'}"
2,Appartements dans programme neuf à Kopstal,"€ 719,332 - € 1,203,404",Kopstal,https://www.immotop.lu/annonces/148639/59381/,EspaceImmo,"Appartement 1 chambre neuf, rez-de-chaussée, Bridel, Kopstal","€ 719,332","{'chambre/pièce': '1', 'superficie': '55\n m²', 'étage': '1'}"
3,Appartements dans programme neuf à Kopstal,"€ 719,332 - € 1,203,404",Kopstal,https://www.immotop.lu/annonces/148639/59395/,EspaceImmo,"Appartement 1 chambre neuf, rez-de-chaussée, Bridel, Kopstal","€ 725,340","{'chambre/pièce': '1', 'superficie': '62\n m²', 'étage': '1'}"
4,Appartements dans programme neuf à Kopstal,"€ 719,332 - € 1,203,404",Kopstal,https://www.immotop.lu/annonces/148639/59329/,EspaceImmo,"Appartement 1 chambre neuf, rez-de-chaussée, Bridel, Kopstal","€ 725,694","{'chambre/pièce': '1', 'superficie': '62\n m²', 'étage': '1'}"
5,Appartements dans programme neuf à Kopstal,"€ 719,332 - € 1,203,404",Kopstal,https://www.immotop.lu/annonces/148639/59347/,EspaceImmo,"Appartement 1 chambre neuf, rez-de-chaussée, Bridel, Kopstal","€ 729,619","{'chambre/pièce': '1', 'superficie': '62\n m²', 'étage': '2'}"
6,Appartements dans programme neuf à Kopstal,"€ 719,332 - € 1,203,404",Kopstal,https://www.immotop.lu/annonces/148639/59375/,EspaceImmo,"Appartement 3 chambres neuf, rez-de-chaussée, Bridel, Kopstal","€ 1,203,404","{'chambres/pièces': '3', 'superficie': '105\n m²', 'salle de bain': '1', 'étage': '1'}"
7,Appartements dans programme neuf à Kopstal,"€ 719,332 - € 1,203,404",Kopstal,https://www.immotop.lu/annonces/148639/59323/,EspaceImmo,"Appartement 3 chambres neuf, rez-de-chaussée, Bridel, Kopstal","€ 1,203,404","{'chambres/pièces': '3', 'superficie': '105\n m²', 'salle de bain': '1', 'étage': '1'}"
8,Appartements dans programme neuf à Luxembourg,"€ 718,471 - € 1,368,293",Luxembourg,https://www.immotop.lu/annonces/144727/57723/,New Immo,"Appartement 1 chambre neuf, rez-de-chaussée, Belair, Luxembourg","€ 718,471","{'chambre/pièce': '1', 'superficie': '47\n m²', 'salle de bain': '1', 'étage': 'T'}"
9,Appartements dans programme neuf à Luxembourg,"€ 718,471 - € 1,368,293",Luxembourg,https://www.immotop.lu/annonces/144727/57773/,New Immo,"Appartement 1 chambre neuf, rez-de-chaussée, Belair, Luxembourg","€ 761,041","{'chambre/pièce': '1', 'superficie': '45\n m²', 'salle de bain': '1', 'étage': 'T'}"
10,Appartements dans programme neuf à Luxembourg,"€ 718,471 - € 1,368,293",Luxembourg,https://www.immotop.lu/annonces/144727/57805/,New Immo,"Appartement 1 chambre neuf, rez-de-chaussée, Belair, Luxembourg","€ 990,402","{'chambre/pièce': '1', 'superficie': '59\n m²', 'salle de bain': '1', 'étage': '1'}"
11,Appartements dans programme neuf à Luxembourg,"€ 718,471 - € 1,368,293",Luxembourg,https://www.immotop.lu/annonces/144727/57789/,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Belair, Luxembourg","€ 1,260,080","{'chambres/pièces': '2', 'superficie': '73\n m²', 'salle de bain': '1', 'étage': 'T'}"
12,Appartements dans programme neuf à Luxembourg,"€ 718,471 - € 1,368,293",Luxembourg,https://www.immotop.lu/annonces/144727/57823/,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Belair, Luxembourg","€ 1,368,293","{'chambres/pièces': '2', 'superficie': '80\n m²', 'salle de bain': '1', 'étage': '2'}"
13,Appartements dans programme neuf à Luxembourg,"€ 827,466 - € 1,345,585",Luxembourg,https://www.immotop.lu/annonces/307747/105741/,New Immo,"Appartement 1 chambre avenue du X Septembre, Belair, Luxembourg","€ 827,466","{'chambre/pièce': '1', 'superficie': '49\n m²', 'étage': 'T'}"
14,Appartements dans programme neuf à Luxembourg,"€ 827,466 - € 1,345,585",Luxembourg,https://www.immotop.lu/annonces/307747/105743/,New Immo,"Appartement 2 chambres avenue du X Septembre, Belair, Luxembourg","€ 1,274,505","{'chambres/pièces': '2', 'superficie': '77\n m²', 'étage': '3'}"
15,Appartements dans programme neuf à Luxembourg,"€ 827,466 - € 1,345,585",Luxembourg,https://www.immotop.lu/annonces/307747/105745/,New Immo,"Appartement 2 chambres avenue du X Septembre, Belair, Luxembourg","€ 1,281,178","{'chambres/pièces': '2', 'superficie': '77\n m²', 'étage': '2'}"
16,Appartements dans programme neuf à Luxembourg,"€ 827,466 - € 1,345,585",Luxembourg,https://www.immotop.lu/annonces/307747/105747/,New Immo,"Appartement 2 chambres avenue du X Septembre, Belair, Luxembourg","€ 1,282,040","{'chambres/pièces': '2', 'superficie': '79\n m²', 'étage': 'T'}"
17,Appartements dans programme neuf à Luxembourg,"€ 827,466 - € 1,345,585",Luxembourg,https://www.immotop.lu/annonces/307747/105749/,New Immo,"Appartement 2 chambres avenue du X Septembre, Belair, Luxembourg","€ 1,288,859","{'chambres/pièces': '2', 'superficie': '77\n m²', 'étage': '1'}"
18,Appartements dans programme neuf à Luxembourg,"€ 827,466 - € 1,345,585",Luxembourg,https://www.immotop.lu/annonces/307747/105751/,New Immo,"Appartement 2 chambres avenue du X Septembre, Belair, Luxembourg","€ 1,310,666","{'chambres/pièces': '2', 'superficie': '79\n m²', 'étage': '3'}"
19,Appartements dans programme neuf à Luxembourg,"€ 827,466 - € 1,345,585",Luxembourg,https://www.immotop.lu/annonces/307747/105753/,New Immo,"Appartement 2 chambres avenue du X Septembre, Belair, Luxembourg","€ 1,313,108","{'chambres/pièces': '2', 'superficie': '79\n m²', 'étage': '2'}"
20,Appartements dans programme neuf à Luxembourg,"€ 827,466 - € 1,345,585",Luxembourg,https://www.immotop.lu/annonces/307747/105755/,New Immo,"Appartement 2 chambres avenue du X Septembre, Belair, Luxembourg","€ 1,344,355","{'chambres/pièces': '2', 'superficie': '85\n m²', 'étage': '1'}"
21,Appartements dans programme neuf à Luxembourg,"€ 827,466 - € 1,345,585",Luxembourg,https://www.immotop.lu/annonces/307747/105757/,New Immo,"Appartement 2 chambres avenue du X Septembre, Belair, Luxembourg","€ 1,345,585","{'chambres/pièces': '2', 'superficie': '85\n m²', 'étage': 'T'}"
22,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/144779/114283/,New Immo,"Studio à vendre, Hollerich, Luxembourg","€ 495,720",{'superficie': '36\n m²'}
23,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/144779/57881/,New Immo,"Studio à vendre, Hollerich, Luxembourg","€ 497,024",{'superficie': '34\n m²'}
24,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/144779/57925/,New Immo,"Studio à vendre, Hollerich, Luxembourg","€ 527,517",{'superficie': '34\n m²'}
