,property,prop_type,price,location,proj_link,link,agency,Availability,Livable surface,Lift,Number of bedrooms,Renovation year,Living room,Fitted kitchen,Separate kitchen,Shower rooms,Terrace,Garden,Closed parking space,Basement,Laundry,Energy class,Thermal insulation class,Property's floor,Shower room,Restroom,Bathroom,Balcony,Gas heating,Solar panels,Open kitchen,Bathooms,Open parking space,Land,Pump heating,Year of construction,Number of rooms,Acces for mobility-impared people,Monthly charges,Pets accepted,Renovated,Fireplace,Fuel heating,Attic,Parquet,Wine cellar,Swimming pool,Convertible attic,Converted attic,Sauna,Geothermal heating,Electric heating,Social housing,Total floors,Indoor parking space(s),Rent,Security deposit,Furnished,Type of mandate,Life annuity sale,Assisted living facilities,status
0,Apartment 2 bedrooms in Oberkorn,Apartment,888535 ,Oberkorn,https://www.athome.lu/en/buy/new-property/apartment-block/residence-serenia-oberkorn/id-7688350.html,http://athome.lu/en/buy/apartment/oberkorn/id-7688327.html,AFIL IMMO S.A.,01/12/2024,102.39,Yes,2,2019,Yes,Yes,Yes,2,20 m²,37 m²,2,Yes,Yes,A,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
1,Apartment 2 bedrooms in Oberkorn,Apartment,893736 ,Oberkorn,https://www.athome.lu/en/buy/new-property/apartment-block/residence-serenia-oberkorn/id-7688350.html,http://athome.lu/en/buy/apartment/oberkorn/id-7688329.html,AFIL IMMO S.A.,01/12/2024,99.2,Yes,2,2020,Yes,Yes,Yes,2,20 m²,42 m²,2,Yes,Yes,A,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
2,Apartment 1 bedroom in Oberkorn,Apartment,555638 ,Oberkorn,https://www.athome.lu/en/buy/new-property/apartment-block/residence-serenia-oberkorn/id-7688350.html,http://athome.lu/en/buy/apartment/oberkorn/id-7688334.html,AFIL IMMO S.A.,01/12/2024,48.48,Yes,1,2019,Yes,Yes,Yes,,,38 m²,1,,Yes,A,A,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
3,Retail in Oberkorn,Retail,179384 ,Oberkorn,https://www.athome.lu/en/buy/new-property/apartment-block/residence-serenia-oberkorn/id-7688350.html,http://athome.lu/en/buy/commercial-property/oberkorn/id-7688330.html,AFIL IMMO S.A.,01/12/2024,16.04,,,2020,,,,,,,1,,,A,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
4,Apartment 1 bedroom in Oberkorn,Apartment,581196 ,Oberkorn,https://www.athome.lu/en/buy/new-property/apartment-block/residence-serenia-oberkorn/id-7688350.html,http://athome.lu/en/buy/apartment/oberkorn/id-7688332.html,AFIL IMMO S.A.,01/12/2024,58.53,,1,2020,Yes,Yes,Yes,,,,1,Yes,,A,A,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
5,Apartment 2 bedrooms in Oberkorn,Apartment,919443 ,Oberkorn,https://www.athome.lu/en/buy/new-property/apartment-block/residence-serenia-oberkorn/id-7688350.html,http://athome.lu/en/buy/apartment/oberkorn/id-7688335.html,AFIL IMMO S.A.,01/12/2024,97.5,Yes,2,2019,Yes,Yes,Yes,2,27.15 m²,32 m²,2,Yes,Yes,A,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
6,Apartment 2 bedrooms in Oberkorn,Apartment,756911 ,Oberkorn,https://www.athome.lu/en/buy/new-property/apartment-block/residence-serenia-oberkorn/id-7688350.html,http://athome.lu/en/buy/apartment/oberkorn/id-7688331.html,AFIL IMMO S.A.,01/12/2024,81.8,,2,2020,Yes,Yes,Yes,2,,,2,Yes,,A,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
7,Flat in Oberkorn,Flat,469354 ,Oberkorn,https://www.athome.lu/en/buy/new-property/apartment-block/residence-serenia-oberkorn/id-7688350.html,http://athome.lu/en/buy/apartment/oberkorn/id-7688333.html,AFIL IMMO S.A.,01/12/2024,34.64,Yes,,2017,Yes,Yes,Yes,,4.91 m²,27 m²,1,Yes,Yes,A,A,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
8,Apartment 2 bedrooms in Oberkorn,Apartment,824831 ,Oberkorn,https://www.athome.lu/en/buy/new-property/apartment-block/residence-serenia-oberkorn/id-7688350.html,http://athome.lu/en/buy/apartment/oberkorn/id-7688341.html,AFIL IMMO S.A.,01/12/2024,97.5,Yes,2,2017,Yes,Yes,Yes,2,,24 m²,2,Yes,Yes,A,A,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
9,Apartment 2 bedrooms in Oberkorn,Apartment,725965 ,Oberkorn,https://www.athome.lu/en/buy/new-property/apartment-block/residence-serenia-oberkorn/id-7688350.html,http://athome.lu/en/buy/apartment/oberkorn/id-7688342.html,AFIL IMMO S.A.,01/12/2024,79.26,Yes,2,2020,Yes,Yes,Yes,2,,24 m²,2,Yes,Yes,A,A,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
10,Apartment 2 bedrooms in Oberkorn,Apartment,843373 ,Oberkorn,https://www.athome.lu/en/buy/new-property/apartment-block/residence-serenia-oberkorn/id-7688350.html,http://athome.lu/en/buy/apartment/oberkorn/id-7688338.html,AFIL IMMO S.A.,01/12/2024,95.49,Yes,2,2020,Yes,Yes,Yes,2,4.91 m²,33 m²,2,Yes,Yes,A,A,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
11,Apartment 2 bedrooms in Oberkorn,Apartment,733742 ,Oberkorn,https://www.athome.lu/en/buy/new-property/apartment-block/residence-serenia-oberkorn/id-7688350.html,http://athome.lu/en/buy/apartment/oberkorn/id-7688348.html,AFIL IMMO S.A.,01/12/2024,79.71,,2,2020,Yes,Yes,Yes,,4.89 m²,24 m²,2,Yes,,A,A,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
